scenario,phase,second,time_s,channel,prn,raw_start_sample,raw_end_sample,cn0_db_hz,carrier_lock,raw_power,prompt_magnitude,method,budget,score
cleanStatic,train,10,10.022221,0,16,250305525,250805525,48.88155345916748,0.9843764275312423,5594358.2711040005,4869337.429395612,active_adaptive,3,3.0471471614590357
cleanStatic,train,10,10.022221,0,16,250305525,250805525,48.88155345916748,0.9843764275312423,5594358.2711040005,4869337.429395612,active_adaptive,5,1.1757961960067544
cleanStatic,train,10,10.022221,0,16,250305525,250805525,48.88155345916748,0.9843764275312423,5594358.2711040005,4869337.429395612,active_adaptive,9,-0.9041783355098083
cleanStatic,train,10,10.022221,0,16,250305525,250805525,48.88155345916748,0.9843764275312423,5594358.2711040005,4869337.429395612,active_adaptive,16,-2.440496206873923
cleanStatic,train,10,10.022221,0,16,,,,,,,active_magnitude,3,2.65248922729401
cleanStatic,train,10,10.022221,0,16,,,,,,,active_magnitude,5,2.3922447654663204
cleanStatic,train,10,10.022221,0,16,,,,,,,active_magnitude,9,1.9734979115330011
cleanStatic,train,10,10.022221,0,16,,,,,,,active_no_context,9,-0.9041783355098083
cleanStatic,train,10,10.022221,0,16,,,,,,,active_context,9,-1.5971722151774672
cleanStatic,train,10,10.022221,0,16,,,,,,,learned_fixed,3,3.0471471614590357
cleanStatic,train,10,10.022221,0,16,,,,,,,learned_fixed,5,1.1757961960067544
cleanStatic,train,10,10.022221,0,16,,,,,,,learned_fixed,9,-0.9041783355098083
cleanStatic,train,10,10.022221,0,16,,,,,,,learned_fixed,16,-2.440496206873923
cleanStatic,train,10,10.022221,0,16,,,,,,,uniform_fixed,3,4.356341034303235
cleanStatic,train,10,10.022221,0,16,,,,,,,uniform_fixed,5,3.2108058241990376
cleanStatic,train,10,10.022221,0,16,,,,,,,uniform_fixed,9,0.9333905484544837
cleanStatic,train,10,10.022221,0,16,,,,,,,uniform_fixed,16,-2.321377153774154
cleanStatic,train,10,10.022221,0,16,,,,,,,random_fixed,3,-1.9937093183962495
cleanStatic,train,10,10.022221,0,16,,,,,,,random_fixed,5,-3.597924500476553
cleanStatic,train,10,10.022221,0,16,,,,,,,random_fixed,9,-3.7209916957678266
cleanStatic,train,10,10.022221,0,16,,,,,,,random_fixed,16,-4.662686383062207
cleanStatic,train,10,10.022221,0,16,,,,,,,epl_3,3,-4.6266724997067215
cleanStatic,train,10,10.022221,0,16,,,,,,,fixed_delay_9,9,-4.891174882778698
cleanStatic,train,10,10.022221,0,16,,,,,,,dense_nf,187,-4.010037422180176
cleanStatic,train,10,10.02656428,2,3,250414107,250914107,51.14941673278808,0.9910613358020782,5597964.422556,5988331.755847574,active_adaptive,3,2.513046581916567
cleanStatic,train,10,10.02656428,2,3,250414107,250914107,51.14941673278808,0.9910613358020782,5597964.422556,5988331.755847574,active_adaptive,5,0.7624446550918629
cleanStatic,train,10,10.02656428,2,3,250414107,250914107,51.14941673278808,0.9910613358020782,5597964.422556,5988331.755847574,active_adaptive,9,-1.1734184594985915
cleanStatic,train,10,10.02656428,2,3,250414107,250914107,51.14941673278808,0.9910613358020782,5597964.422556,5988331.755847574,active_adaptive,16,-2.6168975089040902
cleanStatic,train,10,10.02656428,2,3,,,,,,,active_magnitude,3,2.561763973750664
cleanStatic,train,10,10.02656428,2,3,,,,,,,active_magnitude,5,2.338268499056101
cleanStatic,train,10,10.02656428,2,3,,,,,,,active_magnitude,9,1.9418643657622532
cleanStatic,train,10,10.02656428,2,3,,,,,,,active_no_context,9,-1.1734184594985915
cleanStatic,train,10,10.02656428,2,3,,,,,,,active_context,9,-1.3525300749359357
cleanStatic,train,10,10.02656428,2,3,,,,,,,learned_fixed,3,2.513046581916567
cleanStatic,train,10,10.02656428,2,3,,,,,,,learned_fixed,5,0.7624446550918629
