fold,sample_index,class_name,binary_label,area,transmit_power_dbm,block_size,class_block,class_block_key,role,guard_reason
0,3072,Prn,0,1,40,32,96,Prn:96,guard,same-class adjacent block to fixed test block
0,3073,Prn,0,1,40,32,96,Prn:96,guard,same-class adjacent block to fixed test block
0,3074,Prn,0,1,40,32,96,Prn:96,guard,same-class adjacent block to fixed test block
0,3075,Prn,0,1,40,32,96,Prn:96,guard,same-class adjacent block to fixed test block
0,3076,Prn,0,1,40,32,96,Prn:96,guard,same-class adjacent block to fixed test block
0,3077,Prn,0,1,40,32,96,Prn:96,guard,same-class adjacent block to fixed test block
0,3078,Prn,0,1,40,32,96,Prn:96,guard,same-class adjacent block to fixed test block
0,3079,Prn,0,1,40,32,96,Prn:96,guard,same-class adjacent block to fixed test block
0,3080,Prn,0,1,40,32,96,Prn:96,guard,same-class adjacent block to fixed test block
0,3081,Prn,0,1,40,32,96,Prn:96,guard,same-class adjacent block to fixed test block
0,3082,Prn,0,1,40,32,96,Prn:96,guard,same-class adjacent block to fixed test block
0,3083,Prn,0,1,40,32,96,Prn:96,guard,same-class adjacent block to fixed test block
0,3084,Prn,0,1,40,32,96,Prn:96,guard,same-class adjacent block to fixed test block
0,3085,Prn,0,1,40,32,96,Prn:96,guard,same-class adjacent block to fixed test block
0,3086,Prn,0,1,40,32,96,Prn:96,guard,same-class adjacent block to fixed test block
0,3087,Prn,0,1,40,32,96,Prn:96,guard,same-class adjacent block to fixed test block
0,3088,Prn,0,1,40,32,96,Prn:96,guard,same-class adjacent block to fixed test block
0,3089,Prn,0,1,40,32,96,Prn:96,guard,same-class adjacent block to fixed test block
0,3090,Prn,0,1,40,32,96,Prn:96,guard,same-class adjacent block to fixed test block
0,3091,Prn,0,1,40,32,96,Prn:96,guard,same-class adjacent block to fixed test block
0,3092,Prn,0,1,40,32,96,Prn:96,guard,same-class adjacent block to fixed test block
0,3093,Prn,0,1,40,32,96,Prn:96,guard,same-class adjacent block to fixed test block
0,3094,Prn,0,1,40,32,96,Prn:96,guard,same-class adjacent block to fixed test block
0,3095,Prn,0,1,40,32,96,Prn:96,guard,same-class adjacent block to fixed test block
0,3096,Prn,0,1,40,32,96,Prn:96,guard,same-class adjacent block to fixed test block
0,3097,Prn,0,1,40,32,96,Prn:96,guard,same-class adjacent block to fixed test block
0,3098,Prn,0,1,40,32,96,Prn:96,guard,same-class adjacent block to fixed test block
0,3099,Prn,0,1,40,32,96,Prn:96,guard,same-class adjacent block to fixed test block
0,3100,Prn,0,1,40,32,96,Prn:96,guard,same-class adjacent block to fixed test block
0,3101,Prn,0,1,40,32,96,Prn:96,guard,same-class adjacent block to fixed test block
0,3102,Prn,0,1,40,32,96,Prn:96,guard,same-class adjacent block to fixed test block
0,3103,Prn,0,1,40,32,96,Prn:96,guard,same-class adjacent block to fixed test block
0,3168,Prn,0,1,40,32,99,Prn:99,guard,same-class adjacent block to fixed test block
