scenario,decision_time_s,score,phase,model,model_seed,policy_seed,alarm_primary_q99,alarm_primary_q995,alarm_matched_clean_diagnostic,threshold_source,tracked_prn_count
DS8,7.5,0.0,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS8,7.5,1.501685206569542,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,8
DS8,8.0,0.0,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS8,8.0,1.5017890198277914,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,8
DS8,8.5,0.0,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS8,8.5,1.5034857641988584,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,9
DS8,9.0,0.0,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS8,9.0,1.4997980225391572,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,10
DS8,9.5,0.0,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS8,9.5,1.499901071462248,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,10
DS8,10.0,0.0,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS8,10.0,1.5002428448478973,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,10
DS8,10.5,0.0,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS8,10.5,1.5012811074861416,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,10
DS8,11.0,0.0,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS8,11.0,1.5002357611654187,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,10
DS8,11.5,0.0,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS8,11.5,1.5005042164391182,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,10
DS8,12.0,0.0,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS8,12.0,1.5005995360682947,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,10
DS8,12.5,0.0,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS8,12.5,1.5007977656444649,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,10
DS8,13.0,0.0,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS8,13.0,1.5009250916202965,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,10
DS8,13.5,0.0,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS8,13.5,1.5012179225063893,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,10
DS8,14.0,0.0002442599119566532,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS8,14.0,1.5023271177981108,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,10
DS8,14.5,0.26236082229118035,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS8,14.5,1.4984466090009916,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,10
DS8,15.0,0.22516756750916897,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS8,15.0,1.4963484000406246,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,10
DS8,15.5,0.2871590561955425,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS8,15.5,1.492821028434565,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,10
DS8,16.0,0.2625170845985444,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS8,16.0,1.494261962350274,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,10
DS8,16.5,0.4800331480353751,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS8,16.5,1.49286626010976,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,10
DS8,17.0,0.47784983364388534,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS8,17.0,1.491099244317392,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,10
DS8,17.5,0.476212347850268,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS8,17.5,1.4891627444633373,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,10
DS8,18.0,0.4777928281519584,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS8,18.0,1.4875944692347103,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,10
DS8,18.5,0.5137053290271342,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS8,18.5,1.4878153492046133,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,10
DS8,19.0,0.43981900482018077,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS8,19.0,1.4868492163049147,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,9
DS8,19.5,0.40309025772336876,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS8,19.5,1.486873547901902,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,9
DS8,20.0,0.44558499547493957,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS8,20.0,1.4841347013584258,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,9
DS8,20.5,0.40741475071443783,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS8,20.5,1.4852042728580086,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,9
DS8,21.0,0.4609217709489937,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS8,21.0,1.4854115589367323,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,9
DS8,21.5,0.4889586303941583,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS8,21.5,1.483928757823424,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,9
DS8,22.0,0.9691397799332219,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS8,22.0,1.4848912993410994,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,9
DS8,22.5,1.0618960578390086,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS8,22.5,1.4850949258196187,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,9
DS8,23.0,0.8509620514290867,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS8,23.0,1.4831796823708174,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,9
DS8,23.5,0.7935822464849803,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS8,23.5,1.4859565298449846,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,10
DS8,24.0,0.7505473927769006,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS8,24.0,1.4850016880570924,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,10
DS8,24.5,1.0367437193409792,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS8,24.5,1.485903472574521,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,10
DS8,25.0,0.8981913567699917,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS8,25.0,1.4847844208859708,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,10
