scenario,decision_time_s,score,phase,model,model_seed,policy_seed,alarm_primary_q99,alarm_primary_q995,alarm_matched_clean_diagnostic,threshold_source,tracked_prn_count
DS7,7.5,0.0,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS7,7.5,1.5016678672734207,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,8
DS7,8.0,0.0,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS7,8.0,1.503815605586486,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,8
DS7,8.5,0.0,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS7,8.5,1.5028241010208088,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,8
DS7,9.0,0.0,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS7,9.0,1.5036591888730853,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,9
DS7,9.5,0.0,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS7,9.5,1.5041481200928157,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,9
DS7,10.0,0.036030455011091374,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS7,10.0,1.5046317768717736,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,9
DS7,10.5,0.0630532962694099,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS7,10.5,1.5045126365354882,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,9
DS7,11.0,0.0833204272131488,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS7,11.0,1.5058348115741875,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,9
DS7,11.5,0.09852077542095297,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS7,11.5,1.5079814623515013,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,10
DS7,12.0,0.1099210365768061,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS7,12.0,1.5052145592662198,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,10
DS7,12.5,0.2002657500499586,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS7,12.5,1.5064145840048848,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,10
DS7,13.0,0.26802428515482296,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS7,13.0,1.5052209381811859,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,10
DS7,13.5,0.5351848270456355,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS7,13.5,1.504281570613702,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,10
DS7,14.0,0.735555233463745,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS7,14.0,1.5042549643343184,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,11
DS7,14.5,1.4218889627406597,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS7,14.5,1.5007618370245897,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,11
DS7,15.0,1.644878793373684,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS7,15.0,1.4971351055462918,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,11
DS7,15.5,1.5006192525306021,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS7,15.5,1.4935392703525123,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,11
DS7,16.0,1.788606487308753,excluded,B0 Exact,NA,,False,False,True,B0 Exact clean calibration,
DS7,16.0,1.4964381792073407,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,11
DS7,16.5,1.919916936799754,excluded,B0 Exact,NA,,False,False,True,B0 Exact clean calibration,
DS7,16.5,1.4950442109494766,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,11
DS7,17.0,2.0183997739180044,excluded,B0 Exact,NA,,True,True,True,B0 Exact clean calibration,
DS7,17.0,1.4925296588434545,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,11
DS7,17.5,1.8547472068834587,excluded,B0 Exact,NA,,False,False,True,B0 Exact clean calibration,
DS7,17.5,1.4910885408014625,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,11
DS7,18.0,1.7320077816075494,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS7,18.0,1.491244106246798,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,11
DS7,18.5,1.6399532126506173,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS7,18.5,1.4925482202835403,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,11
DS7,19.0,1.3292201248193383,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS7,19.0,1.4899854151958873,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,11
DS7,19.5,1.096170308945879,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS7,19.5,1.4887886587781693,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,11
DS7,20.0,1.2755063319671804,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS7,20.0,1.4838922605927702,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,10
DS7,20.5,1.0558849643067607,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS7,20.5,1.4868508682613468,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,10
DS7,21.0,1.1260803364095888,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS7,21.0,1.4857604914152205,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,10
DS7,21.5,1.0239202205894389,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS7,21.5,1.4861293675386376,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,10
DS7,22.0,1.287800550862038,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS7,22.0,1.483884841719228,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,10
DS7,22.5,1.145210381428776,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS7,22.5,1.482657518159452,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,10
DS7,23.0,0.8922906342277126,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS7,23.0,1.4828510164576407,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,10
DS7,23.5,0.8485779439530319,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS7,23.5,1.484371535687858,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,10
DS7,24.0,1.019552675789267,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS7,24.0,1.4850015533908285,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,10
