scenario,decision_time_s,score,phase,model,model_seed,policy_seed,alarm_primary_q99,alarm_primary_q995,alarm_matched_clean_diagnostic,threshold_source,tracked_prn_count
DS1,7.5,0.0,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS1,7.5,0.6706887754082306,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,9
DS1,8.0,0.0,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS1,8.0,0.6671693913002071,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,9
DS1,8.5,0.0,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS1,8.5,0.660702212449206,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,9
DS1,9.0,0.0,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS1,9.0,0.7011752073567683,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,10
DS1,9.5,0.0,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS1,9.5,0.6981365122404326,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,11
DS1,10.0,0.02839695079078372,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS1,10.0,0.6917156151283055,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,11
DS1,10.5,0.04375136028740633,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS1,10.5,0.6811240419501908,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,11
DS1,11.0,0.05526716740987329,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS1,11.0,0.7166398275858402,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,11
DS1,11.5,0.06390402275172351,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS1,11.5,0.7563144035791037,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,11
DS1,12.0,0.07038166425811117,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS1,12.0,0.7745981528677782,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,11
DS1,12.5,0.07523989538790192,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS1,12.5,0.7529153033730888,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,11
DS1,13.0,0.07888356873524498,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS1,13.0,0.6987968285553582,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,11
DS1,13.5,0.08161632374575227,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS1,13.5,0.6422398896082646,excluded,primary 3-seed mean complex IG K7,mean,,True,False,True,primary clean calibration,11
DS1,14.0,0.384491526875741,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS1,14.0,0.6052613354623958,excluded,primary 3-seed mean complex IG K7,mean,,False,False,False,primary clean calibration,11
DS1,14.5,0.38556583402211575,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS1,14.5,0.5921150021174205,excluded,primary 3-seed mean complex IG K7,mean,,False,False,False,primary clean calibration,11
DS1,15.0,0.5293666930356317,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS1,15.0,0.5980507405048235,excluded,primary 3-seed mean complex IG K7,mean,,False,False,False,primary clean calibration,11
