scenario,decision_time_s,score,phase,model,model_seed,policy_seed,alarm_primary_q99,alarm_primary_q995,alarm_matched_clean_diagnostic,threshold_source,tracked_prn_count
DS3,7.5,0.036030455011091374,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS3,7.5,0.6391455530415566,excluded,primary 3-seed mean complex IG K7,mean,,False,False,False,primary clean calibration,9
DS3,8.0,0.0630532962694099,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS3,8.0,0.6417919477537367,excluded,primary 3-seed mean complex IG K7,mean,,True,False,False,primary clean calibration,9
DS3,8.5,0.0833204272131488,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS3,8.5,0.6165677030577505,excluded,primary 3-seed mean complex IG K7,mean,,False,False,False,primary clean calibration,9
DS3,9.0,0.11703032845969175,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS3,9.0,0.5968811722664762,excluded,primary 3-seed mean complex IG K7,mean,,False,False,False,primary clean calibration,9
DS3,9.5,0.12380320135586018,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS3,9.5,0.5895704390183383,excluded,primary 3-seed mean complex IG K7,mean,,False,False,False,primary clean calibration,9
DS3,10.0,0.1288828560279865,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS3,10.0,0.5933983353340845,excluded,primary 3-seed mean complex IG K7,mean,,False,False,False,primary clean calibration,10
DS3,10.5,0.13269259703208125,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS3,10.5,0.5945134732139851,excluded,primary 3-seed mean complex IG K7,mean,,False,False,False,primary clean calibration,11
DS3,11.0,0.12791639856484466,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS3,11.0,0.6052126537688733,excluded,primary 3-seed mean complex IG K7,mean,,False,False,False,primary clean calibration,11
DS3,11.5,0.11839094611795203,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS3,11.5,0.625116414611819,excluded,primary 3-seed mean complex IG K7,mean,,False,False,False,primary clean calibration,11
