run_id,country_code,capital,latitude_deg,longitude_deg,altitude_m,utc,duration_seconds,time_of_day,motion_type,rinex_nav,split
normal-v3-001-kor-seoul-epoch-a-20260718,KOR,Seoul,37.5665,126.978,50,2026-07-18T00:00:00Z,300,epoch-a,static,data/ephemeris/brdc1990.26n,train
normal-v3-002-kor-seoul-epoch-b-20260718,KOR,Seoul,37.5665,126.978,50,2026-07-18T04:00:00Z,300,epoch-b,static,data/ephemeris/brdc1990.26n,train
normal-v3-003-kor-seoul-epoch-c-20260718,KOR,Seoul,37.5665,126.978,50,2026-07-18T08:00:00Z,300,epoch-c,static,data/ephemeris/brdc1990.26n,train
normal-v3-004-jpn-tokyo-epoch-a-20260718,JPN,Tokyo,35.6762,139.6503,40,2026-07-18T00:00:00Z,300,epoch-a,static,data/ephemeris/brdc1990.26n,train
normal-v3-005-jpn-tokyo-epoch-b-20260718,JPN,Tokyo,35.6762,139.6503,40,2026-07-18T04:00:00Z,300,epoch-b,static,data/ephemeris/brdc1990.26n,train
normal-v3-006-jpn-tokyo-epoch-c-20260718,JPN,Tokyo,35.6762,139.6503,40,2026-07-18T08:00:00Z,300,epoch-c,static,data/ephemeris/brdc1990.26n,train
normal-v3-007-chn-beijing-epoch-a-20260718,CHN,Beijing,39.9042,116.4074,45,2026-07-18T00:00:00Z,300,epoch-a,static,data/ephemeris/brdc1990.26n,train
normal-v3-008-chn-beijing-epoch-b-20260718,CHN,Beijing,39.9042,116.4074,45,2026-07-18T04:00:00Z,300,epoch-b,static,data/ephemeris/brdc1990.26n,train
normal-v3-009-chn-beijing-epoch-c-20260718,CHN,Beijing,39.9042,116.4074,45,2026-07-18T08:00:00Z,300,epoch-c,static,data/ephemeris/brdc1990.26n,train
normal-v3-010-twn-taipei-epoch-a-20260718,TWN,Taipei,25.033,121.5654,20,2026-07-18T00:00:00Z,300,epoch-a,static,data/ephemeris/brdc1990.26n,train
normal-v3-011-twn-taipei-epoch-b-20260718,TWN,Taipei,25.033,121.5654,20,2026-07-18T04:00:00Z,300,epoch-b,static,data/ephemeris/brdc1990.26n,train
normal-v3-012-twn-taipei-epoch-c-20260718,TWN,Taipei,25.033,121.5654,20,2026-07-18T08:00:00Z,300,epoch-c,static,data/ephemeris/brdc1990.26n,train
normal-v3-013-mng-ulaanbaatar-epoch-a-20260718,MNG,Ulaanbaatar,47.8864,106.9057,1350,2026-07-18T00:00:00Z,300,epoch-a,static,data/ephemeris/brdc1990.26n,train
normal-v3-014-mng-ulaanbaatar-epoch-b-20260718,MNG,Ulaanbaatar,47.8864,106.9057,1350,2026-07-18T04:00:00Z,300,epoch-b,static,data/ephemeris/brdc1990.26n,train
normal-v3-015-mng-ulaanbaatar-epoch-c-20260718,MNG,Ulaanbaatar,47.8864,106.9057,1350,2026-07-18T08:00:00Z,300,epoch-c,static,data/ephemeris/brdc1990.26n,train
normal-v3-016-tha-bangkok-epoch-a-20260718,THA,Bangkok,13.7563,100.5018,5,2026-07-18T00:00:00Z,300,epoch-a,static,data/ephemeris/brdc1990.26n,train
normal-v3-017-tha-bangkok-epoch-b-20260718,THA,Bangkok,13.7563,100.5018,5,2026-07-18T04:00:00Z,300,epoch-b,static,data/ephemeris/brdc1990.26n,train
normal-v3-018-tha-bangkok-epoch-c-20260718,THA,Bangkok,13.7563,100.5018,5,2026-07-18T08:00:00Z,300,epoch-c,static,data/ephemeris/brdc1990.26n,train
normal-v3-019-vnm-hanoi-epoch-a-20260718,VNM,Hanoi,21.0278,105.8342,20,2026-07-18T00:00:00Z,300,epoch-a,static,data/ephemeris/brdc1990.26n,train
normal-v3-020-vnm-hanoi-epoch-b-20260718,VNM,Hanoi,21.0278,105.8342,20,2026-07-18T04:00:00Z,300,epoch-b,static,data/ephemeris/brdc1990.26n,train
normal-v3-021-vnm-hanoi-epoch-c-20260718,VNM,Hanoi,21.0278,105.8342,20,2026-07-18T08:00:00Z,300,epoch-c,static,data/ephemeris/brdc1990.26n,train
normal-v3-022-khm-phnompenh-epoch-a-20260718,KHM,PhnomPenh,11.5564,104.9282,12,2026-07-18T00:00:00Z,300,epoch-a,static,data/ephemeris/brdc1990.26n,train
normal-v3-023-khm-phnompenh-epoch-b-20260718,KHM,PhnomPenh,11.5564,104.9282,12,2026-07-18T04:00:00Z,300,epoch-b,static,data/ephemeris/brdc1990.26n,train
normal-v3-024-khm-phnompenh-epoch-c-20260718,KHM,PhnomPenh,11.5564,104.9282,12,2026-07-18T08:00:00Z,300,epoch-c,static,data/ephemeris/brdc1990.26n,train
normal-v3-025-lao-vientiane-epoch-a-20260718,LAO,Vientiane,17.9757,102.6331,174,2026-07-18T00:00:00Z,300,epoch-a,static,data/ephemeris/brdc1990.26n,val
normal-v3-026-lao-vientiane-epoch-b-20260718,LAO,Vientiane,17.9757,102.6331,174,2026-07-18T04:00:00Z,300,epoch-b,static,data/ephemeris/brdc1990.26n,val
normal-v3-027-lao-vientiane-epoch-c-20260718,LAO,Vientiane,17.9757,102.6331,174,2026-07-18T08:00:00Z,300,epoch-c,static,data/ephemeris/brdc1990.26n,val
normal-v3-028-mmr-naypyidaw-epoch-a-20260718,MMR,Naypyidaw,19.7633,96.0785,115,2026-07-18T00:00:00Z,300,epoch-a,static,data/ephemeris/brdc1990.26n,test
normal-v3-029-mmr-naypyidaw-epoch-b-20260718,MMR,Naypyidaw,19.7633,96.0785,115,2026-07-18T04:00:00Z,300,epoch-b,static,data/ephemeris/brdc1990.26n,test
normal-v3-030-mmr-naypyidaw-epoch-c-20260718,MMR,Naypyidaw,19.7633,96.0785,115,2026-07-18T08:00:00Z,300,epoch-c,static,data/ephemeris/brdc1990.26n,test
normal-v3-031-mys-kualalumpur-epoch-a-20260718,MYS,KualaLumpur,3.139,101.6869,66,2026-07-18T00:00:00Z,300,epoch-a,static,data/ephemeris/brdc1990.26n,train
normal-v3-032-mys-kualalumpur-epoch-b-20260718,MYS,KualaLumpur,3.139,101.6869,66,2026-07-18T04:00:00Z,300,epoch-b,static,data/ephemeris/brdc1990.26n,train
normal-v3-033-mys-kualalumpur-epoch-c-20260718,MYS,KualaLumpur,3.139,101.6869,66,2026-07-18T08:00:00Z,300,epoch-c,static,data/ephemeris/brdc1990.26n,train
