source,prn,channel,tracker_row,state_row,receiver_time_s,raw_start_sample,raw_end_sample,support_length_samples,carrier_doppler_hz,code_freq_chips,aux1,residual_code_phase_chips,prompt_i,prompt_q,prompt_magnitude,cn0_db_hz,carrier_lock,state_semantics,prompt_semantics,same_prn_previous_current_next,causal_support,assignment_run_length_at_anchor
fresh_cleanStatic,16,0,225,224,0.30720372,7680093,7705093,25000,-2794.2724609375,1022998.0,0.8913339376449585,-0.03647331342171669,-5324570.0,534356.625,5351315.977176212,46.840553283691406,0.9577948451042175,k-1,k,True,"[stamp(k-1),stamp(k-1)+25000)",20
fresh_cleanStatic,19,9,1829,1828,1.910592,47764800,47789800,25000,2623.95458984375,1023001.6875,0.21984538435935974,-0.008996087967548446,-4663775.0,202556.71875,4668171.64154616,50.163021087646484,0.8599211573600769,k-1,k,True,"[stamp(k-1),stamp(k-1)+25000)",20
fresh_cleanStatic,3,2,4329,4328,4.36956708,109239177,109264177,25000,781.365966796875,1023000.5625,0.7462089657783508,-0.030534887669351845,-5855021.0,145018.4375,5856816.64879958,50.87716293334961,0.8618229627609253,k-1,k,True,"[stamp(k-1),stamp(k-1)+25000)",20
fresh_cleanStatic,13,8,5829,5828,5.91172672,147793168,147818168,25000,1844.9696044921875,1023001.3125,0.43012502789497375,-0.01760073872302629,-7210879.0,204674.765625,7213783.176137514,51.263465881347656,0.9891863465309143,k-1,k,True,"[stamp(k-1),stamp(k-1)+25000)",20
fresh_cleanStatic,6,5,8159,8158,8.20064436,205016109,205041109,25000,-510.7450866699219,1022999.6875,0.9776533842086792,-0.04000556426115185,-4255877.0,-358813.3125,4270976.004657041,46.92549133300781,0.9848482608795166,k-1,k,True,"[stamp(k-1),stamp(k-1)+25000)",119
fresh_cleanStatic,20,3,9329,9328,10.08526464,252131616,252156616,25000,-2968.25634765625,1022998.3125,0.8941484689712524,-0.036588494995281995,-3068634.5,-14453.599609375,3068668.5388180846,42.704322814941406,0.9586814641952515,k-1,k,True,"[stamp(k-1),stamp(k-1)+25000)",20
fresh_cleanStatic,23,10,12380,12379,12.50060472,312515118,312540118,25000,-427.48370361328125,1022999.6875,0.2602648437023163,-0.010650034150988237,6918055.0,-506695.46875,6936585.996084586,51.336368560791016,0.9927045106887817,k-1,k,True,"[stamp(k-1),stamp(k-1)+25000)",39
fresh_cleanStatic,10,7,13370,13369,14.01739,350434750,350459750,25000,641.7589111328125,1023000.1875,0.8206865787506104,-0.033582500957624314,-2901352.5,129573.6875,2904244.423210381,43.10267639160156,0.9332274198532104,k-1,k,True,"[stamp(k-1),stamp(k-1)+25000)",20
fresh_cleanStatic,19,9,16229,16228,16.31056804,407764201,407789201,25000,2619.6279296875,1023001.625,0.17851534485816956,-0.007304859515093714,5063207.5,7854.703125,5063213.592612644,48.0904426574707,0.9868277311325073,k-1,k,True,"[stamp(k-1),stamp(k-1)+25000)",20
fresh_cleanStatic,16,0,18320,18319,18.40223588,460055897,460080897,25000,-2799.04833984375,1022998.125,0.8917409777641296,-0.036489973929534854,-5276034.0,485130.40625,5298290.882938034,49.4782600402832,0.9873220920562744,k-1,k,True,"[stamp(k-1),stamp(k-1)+25000)",20
