domain,case_id,family,mode,delay_chips,power_db,target_prns,technical_status,valid_full_epochs,full_alarm_count,alarm_ratio_q99_full_support,valid_active_epochs,active_alarm_count,alarm_ratio_q99_active_support,primary_window,primary_alarm_ratio_q99,threshold_q99,case_gate_status,score_evidence_path,score_evidence_size_bytes,score_evidence_sha256
OAK,OAK.negative.bitwise_nav_sign,negative,,0.0,0.0,10,PASS,11896,2010,0.16896435776731675,0,0,,full_truth_replacement_support,0.16896435776731675,-21.705587048010322,FAIL,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/crid-stage0-r4b-phase-a-physical-identifiability-execution/scores/OAK/OAK.negative.bitwise_nav_sign.csv.gz,486631,5ea7be8c65ff886c6824d46a106f81f2b98407f23b10894a4824114fedc6298c
OAK,OAK.negative.byte_identical,negative,,0.0,0.0,"10,11",PASS,11905,1900,0.15959680806383872,0,0,,full_truth_replacement_support,0.15959680806383872,-21.705587048010322,FAIL,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/crid-stage0-r4b-phase-a-physical-identifiability-execution/scores/OAK/OAK.negative.byte_identical.csv.gz,486797,0b6ac05007484ddd1aed002dde5ba0861f4d086f99f9d34b8e7a22c4b23279cd
OAK,OAK.negative.cn0_reduction,negative,,0.0,0.0,"10,11,21,24,27",PASS,11863,5027,0.4237545308943775,0,0,,full_truth_replacement_support,0.4237545308943775,-21.705587048010322,FAIL,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/crid-stage0-r4b-phase-a-physical-identifiability-execution/scores/OAK/OAK.negative.cn0_reduction.csv.gz,490409,b7ff643a2a6bae1e210c2e95a42e6d09decf256c69b252b2860a55010cb84ddb
OAK,OAK.negative.common_receiver_clock_drift,negative,,0.0,0.0,"10,11,21,24,27",PASS,11905,1647,0.13834523309533808,0,0,,full_truth_replacement_support,0.13834523309533808,-21.705587048010322,FAIL,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/crid-stage0-r4b-phase-a-physical-identifiability-execution/scores/OAK/OAK.negative.common_receiver_clock_drift.csv.gz,486894,beadeb4740437350aa2f9af325eb38181192335582be3ac5e216ac2889202efd
OAK,OAK.negative.empirical_awgn_0p5sigma,negative,,0.0,0.0,"10,11,21,24,27",PASS,11916,2507,0.2103893924135616,0,0,,full_truth_replacement_support,0.2103893924135616,-21.705587048010322,FAIL,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/crid-stage0-r4b-phase-a-physical-identifiability-execution/scores/OAK/OAK.negative.empirical_awgn_0p5sigma.csv.gz,488362,3b2120308398ca7fe41d820e9677ddebc7c4bf317dce369f946169db7bb27082
OAK,OAK.negative.empirical_awgn_1sigma,negative,,0.0,0.0,"10,11,21,24,27",PASS,11888,5022,0.422442799461642,0,0,,full_truth_replacement_support,0.422442799461642,-21.705587048010322,FAIL,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/crid-stage0-r4b-phase-a-physical-identifiability-execution/scores/OAK/OAK.negative.empirical_awgn_1sigma.csv.gz,491428,51b4cb121b35142fb0f5dd091bcb897de46d221bf2135fb4111949bed1c2c466
OAK,OAK.negative.empirical_awgn_2sigma,negative,,0.0,0.0,"10,11,21,24,27",PASS,10381,9452,0.9105095848184183,0,0,,full_truth_replacement_support,0.9105095848184183,-21.705587048010322,FAIL,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/crid-stage0-r4b-phase-a-physical-identifiability-execution/scores/OAK/OAK.negative.empirical_awgn_2sigma.csv.gz,446891,86aea3481d38271995013c57df8a2b5294729fdc29e38dc26335a8bb79b78d19
OAK,OAK.negative.gain,negative,,0.0,0.0,"10,11,21,24,27",PASS,11905,1904,0.1599328013439731,0,0,,full_truth_replacement_support,0.1599328013439731,-21.705587048010322,FAIL,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/crid-stage0-r4b-phase-a-physical-identifiability-execution/scores/OAK/OAK.negative.gain.csv.gz,486857,1aa3de6edfdbbd1eeb06703ac57c14742d53dfa1c5e61194e419e31c0335acd6
OAK,OAK.negative.global_phase,negative,,0.0,0.0,"10,11,21,24,27",PASS,11855,1934,0.1631379164909321,0,0,,full_truth_replacement_support,0.1631379164909321,-21.705587048010322,FAIL,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/crid-stage0-r4b-phase-a-physical-identifiability-execution/scores/OAK/OAK.negative.global_phase.csv.gz,485058,1e6419456bbb9d8b76aed76cf83b2fcfb5dab24c45c94ee2f6352d4eb9233712
OAK,OAK.negative.independent_multipath,negative,,0.0,0.0,"10,11,21,24",PASS,11919,1826,0.1532007718768353,0,0,,full_truth_replacement_support,0.1532007718768353,-21.705587048010322,FAIL,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/crid-stage0-r4b-phase-a-physical-identifiability-execution/scores/OAK/OAK.negative.independent_multipath.csv.gz,487582,621a0a313b4611f269e6f8745b609a78cb013be552e8fd4e6c298a54ecd850be
