window_start_s,window_end_s,combined_score,diagnostic_threshold,diagnostic_alarm
0.0,1.0,2715.6926759756834,1.7693133951565987,1
0.5,1.5,2617.599962580937,1.7693133951565987,1
1.0,2.0,2477.585862267132,1.7693133951565987,1
1.5,2.5,2279.733453616595,1.7693133951565987,1
2.0,3.0,2019.7304529894477,1.7693133951565987,1
2.5,3.5,1711.0047347541865,1.7693133951565987,1
3.0,4.0,1445.8291013891585,1.7693133951565987,1
3.5,4.5,954.7787341059676,1.7693133951565987,1
4.0,5.0,933.9171692015055,1.7693133951565987,1
4.5,5.5,916.3897748299247,1.7693133951565987,1
5.0,6.0,899.0980960253207,1.7693133951565987,1
5.5,6.5,916.6236738382258,1.7693133951565987,1
6.0,7.0,984.1662219880385,1.7693133951565987,1
6.5,7.5,1053.2495241608221,1.7693133951565987,1
7.0,8.0,1109.8133055113924,1.7693133951565987,1
7.5,8.5,1185.691115136304,1.7693133951565987,1
8.0,9.0,1231.1996790687035,1.7693133951565987,1
8.5,9.5,1244.7273682939415,1.7693133951565987,1
9.0,10.0,1214.4588365167444,1.7693133951565987,1
9.5,10.5,1172.243086514121,1.7693133951565987,1
10.0,11.0,1171.7655494670291,1.7693133951565987,1
10.5,11.5,1176.388741791749,1.7693133951565987,1
11.0,12.0,1189.3215348138872,1.7693133951565987,1
11.5,12.5,1197.5636188678193,1.7693133951565987,1
12.0,13.0,1197.8041723295382,1.7693133951565987,1
12.5,13.5,1197.329453854145,1.7693133951565987,1
13.0,14.0,1196.9229295469172,1.7693133951565987,1
13.5,14.5,1196.4669751984748,1.7693133951565987,1
14.0,15.0,1195.2614133425225,1.7693133951565987,1
14.5,15.5,1195.613722691435,1.7693133951565987,1
15.0,16.0,1197.4775173806945,1.7693133951565987,1
15.5,16.5,1199.2418104472188,1.7693133951565987,1
16.0,17.0,1198.8857052485669,1.7693133951565987,1
16.5,17.5,1197.6197563177282,1.7693133951565987,1
17.0,18.0,1198.8338063331958,1.7693133951565987,1
17.5,18.5,1198.9506008645321,1.7693133951565987,1
18.0,19.0,1197.9786356598834,1.7693133951565987,1
18.5,19.5,1195.8102028710596,1.7693133951565987,1
19.0,20.0,1196.2500939741599,1.7693133951565987,1
19.5,20.5,1195.377488119482,1.7693133951565987,1
20.0,21.0,1193.5725784898812,1.7693133951565987,1
20.5,21.5,2.4297382931343474,1.7693133951565987,1
21.0,22.0,4.732205788686597,1.7693133951565987,1
21.5,22.5,6.485548644504939,1.7693133951565987,1
22.0,23.0,7.975880181437935,1.7693133951565987,1
22.5,23.5,5.3683861462276194,1.7693133951565987,1
23.0,24.0,5.685439405060725,1.7693133951565987,1
23.5,24.5,3.0456510494902522,1.7693133951565987,1
24.0,25.0,2.125936899321901,1.7693133951565987,1
24.5,25.5,0.6644937691416076,1.7693133951565987,0
25.0,26.0,0.6150229536250752,1.7693133951565987,0
25.5,26.5,0.870957913744025,1.7693133951565987,0
26.0,27.0,1.2741878446866224,1.7693133951565987,0
26.5,27.5,1.7555513722070284,1.7693133951565987,0
27.0,28.0,3.01685313998959,1.7693133951565987,1
27.5,28.5,1.1421905870240556,1.7693133951565987,0
28.0,29.0,2.7211912778152185,1.7693133951565987,1
28.5,29.5,1.7652777181605943,1.7693133951565987,0
29.0,30.0,1.0437223264135242,1.7693133951565987,0
29.5,30.5,1.1531447635300127,1.7693133951565987,0
30.0,31.0,1.0850679854879604,1.7693133951565987,0
30.5,31.5,1.0843412444712934,1.7693133951565987,0
31.0,32.0,1.0876148278294808,1.7693133951565987,0
31.5,32.5,0.8304551114569224,1.7693133951565987,0
32.0,33.0,1.4277520348760915,1.7693133951565987,0
32.5,33.5,1.5573059280706865,1.7693133951565987,0
33.0,34.0,1.9523428041318904,1.7693133951565987,1
33.5,34.5,0.9736095047500981,1.7693133951565987,0
34.0,35.0,0.0,1.7693133951565987,0
34.5,35.5,0.9251587935377216,1.7693133951565987,0
35.0,36.0,1.7859366673986867,1.7693133951565987,1
35.5,36.5,0.5920456744863116,1.7693133951565987,0
36.0,37.0,0.9199512663142894,1.7693133951565987,0
36.5,37.5,1.2305385602187928,1.7693133951565987,0
37.0,38.0,0.48984843861145616,1.7693133951565987,0
37.5,38.5,0.9360858950514728,1.7693133951565987,0
38.0,39.0,0.15844081907552884,1.7693133951565987,0
38.5,39.5,1.2336904407258338,1.7693133951565987,0
39.0,40.0,0.7659621937305401,1.7693133951565987,0
39.5,40.5,0.9479653460007946,1.7693133951565987,0
40.0,41.0,0.8135381623233254,1.7693133951565987,0
40.5,41.5,1.3646324766852662,1.7693133951565987,0
41.0,42.0,1.4123261330247951,1.7693133951565987,0
41.5,42.5,0.7948169251267023,1.7693133951565987,0
42.0,43.0,0.9428199441220163,1.7693133951565987,0
42.5,43.5,1.046565910534015,1.7693133951565987,0
