available,cn0_db_hz,dataset,prn,prompt_power,raw_sample_end,raw_sample_start,residual_norm,slot,split,tau_chips,timestamp_s
True,45.48348617553711,OAKBAT.cleanStatic,18,1666534017076.3872,205006273,205001273,2.1314814339949746,22,fit,0.04250000000000015,41.0002546
True,45.582523345947266,OAKBAT.cleanStatic,21,1493142021257.9827,205007446,205002446,2.31195790340998,22,fit,-0.04499999999999993,41.0004892
True,45.81624984741211,OAKBAT.cleanStatic,27,1127770769822.3281,205005371,205000371,2.6414808913362227,22,fit,0.07750000000000018,41.0000742
True,45.69594192504883,OAKBAT.cleanStatic,8,1016063512105.8752,207504033,207499033,2.855642335071369,23,fit,-0.004999999999999893,41.4998066
True,45.050113677978516,OAKBAT.cleanStatic,10,904339651421.4258,207507275,207502275,2.6381137663187806,23,fit,-0.007499999999999896,41.500455
True,45.71186447143555,OAKBAT.cleanStatic,11,920551985075.6135,207503523,207498523,2.5511952012390013,23,fit,-0.04499999999999993,41.4997046
True,45.739112854003906,OAKBAT.cleanStatic,12,1279440724966.92,207502848,207497848,2.6502314997535077,23,fit,0.04750000000000015,41.4995696
True,45.791507720947266,OAKBAT.cleanStatic,14,1371411322247.8125,207506342,207501342,2.5669687924671827,23,fit,-0.04999999999999993,41.5002684
True,45.4129524230957,OAKBAT.cleanStatic,18,1986283662624.329,207506279,207501279,2.511265107511894,23,fit,0.027500000000000135,41.5002558
True,45.83782958984375,OAKBAT.cleanStatic,20,1234408854502.3662,207504811,207499811,1.8732346503334671,23,fit,-0.027499999999999913,41.4999622
True,45.58932113647461,OAKBAT.cleanStatic,21,1874927036880.0625,207507451,207502451,2.3288244031515544,23,fit,0.07750000000000018,41.5004902
True,45.038116455078125,OAKBAT.cleanStatic,24,1704519348953.0625,207503031,207498031,2.364877015524616,23,fit,0.02250000000000013,41.4996062
True,45.77202606201172,OAKBAT.cleanStatic,27,1243077344585.5293,207505374,207500374,2.8878477532143614,23,fit,0.06750000000000017,41.5000748
True,45.78630065917969,OAKBAT.cleanStatic,8,900004688357.1758,210004035,209999035,2.5297129552162607,24,fit,0.07000000000000017,41.999807
True,44.89982223510742,OAKBAT.cleanStatic,10,1389172299177.107,210007273,210002273,3.4406822689354954,24,fit,-0.04749999999999993,42.0004546
True,45.61880874633789,OAKBAT.cleanStatic,11,1901131888528.7039,210003520,209998520,2.6618861611708766,24,fit,0.012500000000000122,41.999704
True,45.176876068115234,OAKBAT.cleanStatic,12,1676749466413.7854,210002844,209997844,2.8243338819292023,24,fit,-0.05499999999999994,41.9995688
True,45.61823654174805,OAKBAT.cleanStatic,14,1755601526298.3525,210006339,210001339,2.170950819096325,24,fit,0.04750000000000015,42.0002678
True,45.432861328125,OAKBAT.cleanStatic,18,1581583373878.5715,210006285,210001285,3.542622789552381,24,fit,0.05750000000000016,42.000257
True,45.77368927001953,OAKBAT.cleanStatic,20,1462882663060.9592,210004812,209999812,2.480276541510649,24,fit,-0.007499999999999896,41.9999624
True,45.83147430419922,OAKBAT.cleanStatic,21,1432815407015.213,210007455,210002455,2.7192912018273527,24,fit,-0.04499999999999993,42.000491
True,45.00186538696289,OAKBAT.cleanStatic,24,1740484737940.3247,210003035,209998035,2.195640816307885,24,fit,-0.03499999999999992,41.999607
False,45.799522399902344,OAKBAT.cleanStatic,27,966759402548.9258,210005378,210000378,1.7974076359087963,24,fit,-0.02499999999999991,42.0000756
True,45.55324172973633,OAKBAT.cleanStatic,8,1755005191552.8904,212504036,212499036,2.4931928322613954,25,fit,-0.03249999999999992,42.4998072
