recording_id,run_id,window_bin_s,availability_time_s,N,mean_e,mean_neg_log_p,min_p,median_p,max_e,top25_mean_e,split
cleanStatic::train,cleanStatic::train,6.5,7.12360144,7,0.5118649939310257,0.05468140114543935,0.8272108843537415,0.9965986394557823,0.5414643416425775,0.5376955718577643,train
cleanStatic::train,cleanStatic::train,7.0,7.62360144,7,0.5055646691658556,0.02575731644533,0.8517006802721089,0.9959183673469387,0.5348260659458612,0.5181969137908687,train
cleanStatic::train,cleanStatic::train,7.5,8.12360144,8,0.5126728427691966,0.05757288049291285,0.7816326530612245,0.9976190476190476,0.5546438170558312,0.548907087474148,train
cleanStatic::train,cleanStatic::train,8.0,8.62360144,8,0.5057552725748247,0.026923506300348725,0.8945578231292517,0.998639455782313,0.5238744020283024,0.5223818489632659,train
cleanStatic::train,cleanStatic::train,8.5,9.12360144,8,0.5056986786774158,0.02621597247504918,0.8299319727891157,0.9989795918367347,0.5407122077520854,0.5223690377403565,train
cleanStatic::train,cleanStatic::train,9.0,9.62360144,9,0.507782904565222,0.03616071784202635,0.8564625850340136,0.9965986394557823,0.5335686032742766,0.5225425380049168,train
cleanStatic::train,cleanStatic::train,9.5,10.12360144,9,0.5233442398201444,0.09871081948895712,0.5530612244897959,1.0,0.6439482595607874,0.569653240844012,train
cleanStatic::train,cleanStatic::train,10.0,10.62360144,9,0.5159341208537187,0.0690354281563722,0.6149659863945578,0.9959183673469387,0.6148418557294931,0.5470919320604976,train
cleanStatic::train,cleanStatic::train,10.5,11.12360144,9,0.5120213114085126,0.05443925384232389,0.7435374149659864,0.9959183673469387,0.5665828182409658,0.5346339188768201,train
cleanStatic::train,cleanStatic::train,11.0,11.62360144,9,0.5356916256920662,0.15239315748479956,0.5925170068027211,0.998639455782313,0.6248613721101421,0.605690590799736,train
cleanStatic::train,cleanStatic::train,11.5,12.19125544,10,0.5234819473061387,0.10501151971218084,0.6687074829931973,0.976530612244898,0.5929631908834845,0.5636380546877368,train
cleanStatic::train,cleanStatic::train,12.0,12.69125544,10,0.5248497572062322,0.10769218581302646,0.6129251700680272,0.982312925170068,0.6157296344560681,0.5778846425067828,train
cleanStatic::train,cleanStatic::train,12.5,13.19125544,10,0.5359703437102736,0.15477041170295086,0.5585034013605442,0.9843537414965986,0.6411941165914685,0.6034869144617064,train
cleanStatic::train,cleanStatic::train,13.0,13.69125544,10,0.5612731358313302,0.23580461716501366,0.3333333333333333,0.9870748299319728,0.8076525592458342,0.699420362496889,train
cleanStatic::train,cleanStatic::train,13.5,14.19125544,10,0.6302687748960567,0.495263655363359,0.2687074829931973,0.7295918367346939,0.8920375932873875,0.7910670022395617,train
cleanStatic::train,cleanStatic::train,14.0,14.69125544,10,0.6836358311749243,0.6429660184835909,0.14965986394557823,0.5704081632653062,1.1790921864828412,0.9037406756494746,train
cleanStatic::train,cleanStatic::train,14.5,15.19125544,10,0.6668299422107454,0.6197208426221859,0.20136054421768707,0.560204081632653,1.0218494838179406,0.8298006571791499,train
cleanStatic::train,cleanStatic::train,15.0,15.69125544,10,0.6631226632507708,0.6010332991667873,0.21224489795918366,0.5914965986394558,0.9965886190934778,0.8500009519952298,train
cleanStatic::train,cleanStatic::train,15.5,16.19125544,11,3.136594431315363,1.2718280177067778,0.0006802721088435374,0.5857142857142857,27.721756005376513,9.83852348139335,train
cleanStatic::train,cleanStatic::train,16.0,16.69125544,11,3.214849534626588,1.3960307466128068,0.0006802721088435374,0.49047619047619045,27.721756005376513,10.124392697539276,train
cleanStatic::train,cleanStatic::train,16.5,17.19125544,11,3.1699445386549017,1.3161962314326954,0.0006802721088435374,0.5693877551020409,27.721756005376513,9.977483974246477,train
cleanStatic::train,cleanStatic::train,17.0,17.69125544,11,3.1639542358294888,1.276522294978336,0.0006802721088435374,0.6408163265306123,27.721756005376513,10.04104846249863,train
cleanStatic::train,cleanStatic::train,17.5,18.19125544,11,3.237168023732043,1.4226394035975123,0.0006802721088435374,0.5789115646258504,27.721756005376513,10.21997797938038,train
