physical_recording_id,window_end_s,decision_time_s,window_start_s,tracked_prn_count,min_p,median_p,mean_q,max_q,mean_neg_log_p,median_neg_log_p,score_A2,score_A0,min_residual_age_s,median_residual_age_s,max_residual_age_s,prn_set_hash,producer_chain_id,score_B0_Exact,score_B0_Enhanced,scenario
texbat-cleanStatic-cmte-reconstructed,307.5,307.5,306.04025756,10,0.1611940298507462,0.3970149253731343,6.181902928821047,15.1484145147382,0.9494323375938348,0.9396402522066849,0.9494323375938348,0.1664856506243434,0.16045195999998896,0.4161007799999936,0.45974244000001363,61a7711d7dd99a09d6f523148726230a5e277ede3c6c7fca21bbb1fae1914fb2,epochfix-8d05354a609c20a8d636,1.7035537524611113,1.2615413623875513,CLEAN_THRESHOLD
texbat-cleanStatic-cmte-reconstructed,308.0,308.0,306.54025756,10,0.0835820895522388,0.5253731343283582,7.32099388082726,21.23523126075066,0.9508989293591326,0.6495078498690391,0.9508989293591326,0.1736120284717663,0.16045195999998896,0.4161007799999936,0.45974244000001363,61a7711d7dd99a09d6f523148726230a5e277ede3c6c7fca21bbb1fae1914fb2,epochfix-8d05354a609c20a8d636,1.5608106489323001,1.18023888089232,CLEAN_THRESHOLD
texbat-cleanStatic-cmte-reconstructed,308.5,308.5,307.04025756,10,0.1716417910447761,0.6470149253731343,6.04994851363688,14.725641482630568,0.7950016423822677,0.4356793416457604,0.7950016423822677,0.1508933470511072,0.16045195999998896,0.4161007799999936,0.45974244000001363,61a7711d7dd99a09d6f523148726230a5e277ede3c6c7fca21bbb1fae1914fb2,epochfix-8d05354a609c20a8d636,1.4327856140564381,1.0940925495023999,CLEAN_THRESHOLD
texbat-cleanStatic-cmte-reconstructed,309.0,309.0,307.54025756,10,0.126865671641791,0.5529850746268656,5.720398651500934,17.830885420198054,0.775186768598241,0.5965288082282558,0.775186768598241,0.1993178421643387,0.16045195999998896,0.4161007799999936,0.45974244000001363,61a7711d7dd99a09d6f523148726230a5e277ede3c6c7fca21bbb1fae1914fb2,epochfix-8d05354a609c20a8d636,1.1029861613331122,0.3611998691974343,CLEAN_THRESHOLD
texbat-cleanStatic-cmte-reconstructed,309.5,309.5,308.04025756,10,0.0850746268656716,0.46567164179104475,5.895388953228004,21.031724411791107,0.8653728815756485,0.7642796610253182,0.8653728815756485,0.1769809295195291,0.16045195999998896,0.4161007799999936,0.45974244000001363,61a7711d7dd99a09d6f523148726230a5e277ede3c6c7fca21bbb1fae1914fb2,epochfix-8d05354a609c20a8d636,0.9450645936171882,0.45174812353574095,CLEAN_THRESHOLD
texbat-cleanStatic-cmte-reconstructed,310.0,310.0,308.54025756,10,0.0343283582089552,0.544776119402985,6.91098079453228,37.13006683044027,0.8379031262702415,0.6085978278212593,0.8379031262702415,0.2185217227515855,0.16045195999998896,0.4161007799999936,0.45974244000001363,61a7711d7dd99a09d6f523148726230a5e277ede3c6c7fca21bbb1fae1914fb2,epochfix-8d05354a609c20a8d636,0.7371953960036749,0.20061376270576953,CLEAN_THRESHOLD
texbat-cleanStatic-cmte-reconstructed,310.5,310.5,309.04025756,10,0.191044776119403,0.6835820895522389,4.560203282341389,13.160719264744088,0.6509640822028167,0.38255841166753973,0.6509640822028167,0.2128845711720857,0.16045195999998896,0.4161007799999936,0.45974244000001363,61a7711d7dd99a09d6f523148726230a5e277ede3c6c7fca21bbb1fae1914fb2,epochfix-8d05354a609c20a8d636,0.836041881589223,0.9150069809718746,CLEAN_THRESHOLD
texbat-cleanStatic-cmte-reconstructed,311.0,311.0,309.54025756,10,0.1313432835820895,0.46492537313432836,5.747571374192205,17.61527761043111,0.8533887177031104,0.7986851160403156,0.8533887177031104,0.1250214711030492,0.16045195999998896,0.4161007799999936,0.45974244000001363,61a7711d7dd99a09d6f523148726230a5e277ede3c6c7fca21bbb1fae1914fb2,epochfix-8d05354a609c20a8d636,1.0672783638322425,1.5651159493253874,CLEAN_THRESHOLD
texbat-cleanStatic-cmte-reconstructed,311.5,311.5,310.04025756,10,0.2014925373134328,0.5052238805970148,4.806317552180424,12.371691544495098,0.7718134196628591,0.6865656048516736,0.7718134196628591,0.1533478562080921,0.16045195999998896,0.4161007799999936,0.45974244000001363,61a7711d7dd99a09d6f523148726230a5e277ede3c6c7fca21bbb1fae1914fb2,epochfix-8d05354a609c20a8d636,0.9210923401384392,0.7602871559235453,CLEAN_THRESHOLD
texbat-cleanStatic-cmte-reconstructed,312.0,312.0,310.54025756,10,0.1820895522388059,0.405223880597015,5.054049845259565,14.071705461498766,0.8209813543961679,0.9040639732546082,0.8209813543961679,0.1475499601905823,0.16045195999998896,0.4161007799999936,0.45974244000001363,61a7711d7dd99a09d6f523148726230a5e277ede3c6c7fca21bbb1fae1914fb2,epochfix-8d05354a609c20a8d636,0.737967047555717,0.33477340553930524,CLEAN_THRESHOLD
