physical_recording_id,window_end_s,decision_time_s,window_start_s,tracked_prn_count,min_p,median_p,mean_q,max_q,mean_neg_log_p,median_neg_log_p,score_A2,score_A0,min_residual_age_s,median_residual_age_s,max_residual_age_s,prn_set_hash,producer_chain_id,score_B0_Exact,score_B0_Enhanced,scenario,phase,stable_pre,post,persistent
texbat-DS2-cmte-reconstructed,7.5,7.5,6.04133652,7,0.9507462686567164,0.9985074626865672,0.5403322694939859,1.0434530683070409,0.008496348431878114,0.0014936522567832536,0.008496348431878114,0.0466875401434705,0.37631528000000003,0.4167088400000001,0.45866348000000023,2682bd70f7c7b8d349a3a1ef81a81825f6a31797f65315db1d4e9a9101f70956,epochfix-4f07628ec77d5d042907,0.0,-0.0,DS2,excluded,False,False,False
texbat-DS2-cmte-reconstructed,8.0,8.0,6.53947684,9,0.8567164179104477,0.9970149253731344,0.611388191761922,1.596153625236703,0.02824026249813653,0.0029895388483659373,0.02824026249813653,0.0316810116239133,0.29366491999999944,0.4167088400000001,0.46052316000000015,31bf1c877d8481243be3b4374d7f80c1831967c95912650204d3becc0841dc7e,epochfix-02cabe10af45c4eba5b8,0.0,-0.0,DS2,excluded,False,False,False
texbat-DS2-cmte-reconstructed,8.5,8.5,7.03947684,9,0.7805970149253731,0.9970149253731344,0.7861558356016297,1.952062451580021,0.045259150084831515,0.0029895388483659373,0.045259150084831515,0.0309461417785635,0.29366491999999944,0.4167088400000001,0.46052316000000104,31bf1c877d8481243be3b4374d7f80c1831967c95912650204d3becc0841dc7e,epochfix-02cabe10af45c4eba5b8,0.0,-0.0,DS2,excluded,False,False,False
texbat-DS2-cmte-reconstructed,9.0,9.0,7.53947684,9,0.9119402985074628,0.9970149253731344,0.6419524057504186,1.2859436592997409,0.018400739081877907,0.0029895388483659373,0.018400739081877907,0.0273189236299518,0.29366491999999944,0.4167088400000001,0.46052316000000104,31bf1c877d8481243be3b4374d7f80c1831967c95912650204d3becc0841dc7e,epochfix-02cabe10af45c4eba5b8,0.0,-0.0,DS2,excluded,False,False,False
texbat-DS2-cmte-reconstructed,9.5,9.5,8.039476839999999,9,0.9014925373134328,0.9925373134328358,0.6829362791245742,1.3788290085335166,0.015848064841902855,0.007490671729157626,0.015848064841902855,0.0356505017260819,0.29366491999999944,0.4167088400000001,0.46052315999999927,31bf1c877d8481243be3b4374d7f80c1831967c95912650204d3becc0841dc7e,epochfix-02cabe10af45c4eba5b8,0.0,-0.0,DS2,excluded,False,False,False
texbat-DS2-cmte-reconstructed,10.0,10.0,8.539476839999999,9,0.8850746268656716,0.9940298507462688,0.7601310105852053,1.4720287877618676,0.032886135730501705,0.005988041844622445,0.032886135730501705,0.0387667954813621,0.29366491999999944,0.4167088400000001,0.46052315999999927,31bf1c877d8481243be3b4374d7f80c1831967c95912650204d3becc0841dc7e,epochfix-02cabe10af45c4eba5b8,0.0,-0.0,DS2,excluded,False,False,False
texbat-DS2-cmte-reconstructed,10.5,10.5,9.03947684,9,0.7865671641791044,0.9955223880597016,0.6912745468440554,1.897224475260469,0.03582945143657108,0.004487666469387905,0.03582945143657108,0.0382531546255692,0.29366491999999944,0.4167088400000001,0.46052315999999927,31bf1c877d8481243be3b4374d7f80c1831967c95912650204d3becc0841dc7e,epochfix-02cabe10af45c4eba5b8,0.0,-0.0,DS2,excluded,False,False,False
texbat-DS2-cmte-reconstructed,11.0,11.0,9.53947684,9,0.682089552238806,1.0,0.7785913977378784,2.494339364005332,0.06137922681646678,0.0,0.06137922681646678,0.0471528742235326,0.29366491999999944,0.4167088400000001,0.46052315999999927,31bf1c877d8481243be3b4374d7f80c1831967c95912650204d3becc0841dc7e,epochfix-02cabe10af45c4eba5b8,0.0,-0.0,DS2,excluded,False,False,False
texbat-DS2-cmte-reconstructed,11.5,11.5,10.03947684,9,0.682089552238806,0.9985074626865672,0.88186005377976,2.493254607028802,0.07337668071075605,0.0014936522567832536,0.07337668071075605,0.0445522306479084,0.29366491999999944,0.4167088400000001,0.46052315999999927,31bf1c877d8481243be3b4374d7f80c1831967c95912650204d3becc0841dc7e,epochfix-02cabe10af45c4eba5b8,0.0,-0.0,DS2,excluded,False,False,False
texbat-DS2-cmte-reconstructed,12.0,12.0,10.53947684,9,0.6388059701492538,0.9865671641791044,0.8418420961098158,2.698948077934304,0.06253786477026022,0.013523872533325543,0.06253786477026022,0.0663442828768075,0.29366491999999944,0.4167088400000001,0.46052315999999927,31bf1c877d8481243be3b4374d7f80c1831967c95912650204d3becc0841dc7e,epochfix-02cabe10af45c4eba5b8,0.0,-0.0,DS2,excluded,False,False,False
