dataset,prn,candidate_epoch_phase,receiver_flag_phase,receiver_flag_match,valid_subframe_pair_count_diagnostic,selected,selection_basis
OAKBAT.cleanStatic,10,0,19,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,10,1,19,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,10,2,19,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,10,3,19,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,10,4,19,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,10,5,19,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,10,6,19,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,10,7,19,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,10,8,19,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,10,9,19,False,0,False,not_receiver_flag_phase
OAKBAT.cleanStatic,10,10,19,False,0,False,not_receiver_flag_phase
OAKBAT.cleanStatic,10,11,19,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,10,12,19,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,10,13,19,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,10,14,19,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,10,15,19,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,10,16,19,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,10,17,19,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,10,18,19,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,10,19,19,True,1,True,authenticated_receiver_data_symbol_boundary_only
OAKBAT.cleanStatic,11,0,12,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,11,1,12,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,11,2,12,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,11,3,12,False,0,False,not_receiver_flag_phase
OAKBAT.cleanStatic,11,4,12,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,11,5,12,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,11,6,12,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,11,7,12,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,11,8,12,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,11,9,12,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,11,10,12,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,11,11,12,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,11,12,12,True,1,True,authenticated_receiver_data_symbol_boundary_only
OAKBAT.cleanStatic,11,13,12,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,11,14,12,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,11,15,12,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,11,16,12,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,11,17,12,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,11,18,12,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,11,19,12,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,21,0,5,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,21,1,5,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,21,2,5,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,21,3,5,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,21,4,5,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,21,5,5,True,1,True,authenticated_receiver_data_symbol_boundary_only
OAKBAT.cleanStatic,21,6,5,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,21,7,5,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,21,8,5,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,21,9,5,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,21,10,5,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,21,11,5,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,21,12,5,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,21,13,5,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,21,14,5,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,21,15,5,False,0,False,not_receiver_flag_phase
OAKBAT.cleanStatic,21,16,5,False,0,False,not_receiver_flag_phase
OAKBAT.cleanStatic,21,17,5,False,0,False,not_receiver_flag_phase
OAKBAT.cleanStatic,21,18,5,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,21,19,5,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,24,0,2,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,24,1,2,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,24,2,2,True,1,True,authenticated_receiver_data_symbol_boundary_only
OAKBAT.cleanStatic,24,3,2,False,1,False,not_receiver_flag_phase
OAKBAT.cleanStatic,24,4,2,False,1,False,not_receiver_flag_phase
