scenario,N,epoch_count,fraction,median_N,min_N,max_N
cleanStatic_threshold,10,46,1.0,10.0,10,10
cleanStatic_test,7,1,0.003745318352059925,10.0,7,11
cleanStatic_test,10,218,0.8164794007490637,10.0,7,11
cleanStatic_test,11,48,0.1797752808988764,10.0,7,11
DS1,8,2,0.002197802197802198,10.0,8,11
DS1,9,3,0.0032967032967032967,10.0,8,11
DS1,10,753,0.8274725274725274,10.0,8,11
DS1,11,152,0.16703296703296702,10.0,8,11
DS2,7,1,0.0011098779134295228,9.0,7,10
DS2,8,17,0.018867924528301886,9.0,7,10
DS2,9,752,0.8346281908990011,9.0,7,10
DS2,10,131,0.1453940066592675,9.0,7,10
DS3,2,216,0.2394678492239468,4.0,2,11
DS3,3,88,0.0975609756097561,4.0,2,11
DS3,4,501,0.5554323725055432,4.0,2,11
DS3,5,66,0.07317073170731707,4.0,2,11
DS3,6,8,0.008869179600886918,4.0,2,11
DS3,7,5,0.005543237250554324,4.0,2,11
DS3,8,6,0.0066518847006651885,4.0,2,11
DS3,9,7,0.007760532150776054,4.0,2,11
DS3,10,1,0.0011086474501108647,4.0,2,11
DS3,11,4,0.004434589800443459,4.0,2,11
DS4,8,1,0.00411522633744856,10.0,8,11
DS4,9,2,0.00823045267489712,10.0,8,11
DS4,10,140,0.5761316872427984,10.0,8,11
DS4,11,100,0.411522633744856,10.0,8,11
DS7,1,1,0.001893939393939394,3.0,1,10
DS7,3,425,0.8049242424242424,3.0,1,10
DS7,4,74,0.14015151515151514,3.0,1,10
DS7,5,8,0.015151515151515152,3.0,1,10
DS7,6,8,0.015151515151515152,3.0,1,10
DS7,7,1,0.001893939393939394,3.0,1,10
DS7,8,4,0.007575757575757576,3.0,1,10
DS7,9,5,0.00946969696969697,3.0,1,10
DS7,10,2,0.003787878787878788,3.0,1,10
DS8,8,4,0.004319654427645789,9.0,8,10
DS8,9,810,0.8747300215982722,9.0,8,10
DS8,10,112,0.12095032397408208,9.0,8,10
