physical_recording_id,window_end_s,tracked_prn_count,min_p,median_p,mean_q,max_q,mean_neg_log_p,median_neg_log_p,score_A2,window_start_s,producer_chain_id,score_A0,score_B0_Exact,score_B0_Enhanced,phase,scenario,stable_pre,post,persistent
texbat-ds4-method-a-9tap-external-validation,7.04046532,1,0.9283582089552239,0.9283582089552239,1.1692298764173474,1.1692298764173474,0.07433761964583226,0.07433761964583226,0.07433761964583226,6.04046532,producer-4646a0efb4b6ff23aa2d,0.0582089557448891,0.0,-0.0,excluded,DS4,False,False,False
texbat-ds4-method-a-9tap-external-validation,7.04085368,1,0.9985074626865672,0.9985074626865672,0.48572597171651183,0.48572597171651183,0.0014936522567832536,0.0014936522567832536,0.0014936522567832536,6.04085368,producer-f5f145f7c90ca11bc162,0.021577814319021917,0.0,-0.0,excluded,DS4,False,False,False
texbat-ds4-method-a-9tap-external-validation,7.04177892,1,0.9970149253731343,0.9970149253731343,0.5397409930431505,0.5397409930431505,0.0029895388483660483,0.0029895388483660483,0.0029895388483660483,6.04177892,producer-41151794e6cc648a071b,0.019914610231638447,0.0,-0.0,excluded,DS4,False,False,False
texbat-ds4-method-a-9tap-external-validation,7.0426056,1,0.9388059701492537,0.9388059701492537,1.1093162647659662,1.1093162647659662,0.06314645568457124,0.06314645568457124,0.06314645568457124,6.0426056,producer-ba7963cb0dd3fb810ad7,0.017840282695104067,0.0,-0.0,excluded,DS4,False,False,False
texbat-ds4-method-a-9tap-external-validation,7.08241928,1,0.9925373134328358,0.9925373134328358,0.7129736838496142,0.7129736838496142,0.007490671729157626,0.007490671729157626,0.007490671729157626,6.08241928,producer-6168d0745cc8e573852c,0.023179559825325147,0.0,-0.0,excluded,DS4,False,False,False
texbat-ds4-method-a-9tap-external-validation,7.08294136,1,0.9985074626865672,0.9985074626865672,0.4668478949579592,0.4668478949579592,0.0014936522567832536,0.0014936522567832536,0.0014936522567832536,6.08294136,producer-c84351117b523855f4d8,0.028570479011017766,0.0,-0.0,excluded,DS4,False,False,False
texbat-ds4-method-a-9tap-external-validation,7.12280144,1,0.9985074626865672,0.9985074626865672,0.5031945552724002,0.5031945552724002,0.0014936522567832536,0.0014936522567832536,0.0014936522567832536,6.12280144,producer-9c553e0e199b76e9e6fd,0.03787180179786622,0.0,-0.0,excluded,DS4,False,False,False
texbat-ds4-method-a-9tap-external-validation,7.12581316,1,0.9985074626865672,0.9985074626865672,0.4848406304761636,0.4848406304761636,0.0014936522567832536,0.0014936522567832536,0.0014936522567832536,6.12581316,producer-1cbf293610054148ecfd,0.016411374348811566,0.0,-0.0,excluded,DS4,False,False,False
texbat-ds4-method-a-9tap-external-validation,7.54046532,1,0.9761194029850746,0.9761194029850746,0.8241074545267247,0.8241074545267247,0.024170360927813068,0.024170360927813068,0.024170360927813068,6.54046532,producer-4646a0efb4b6ff23aa2d,0.0391647164950866,0.0,-0.0,excluded,DS4,False,False,False
texbat-ds4-method-a-9tap-external-validation,7.540853679999999,1,1.0,1.0,0.343577715657624,0.343577715657624,0.0,0.0,0.0,6.54085368,producer-f5f145f7c90ca11bc162,0.017823484273157227,0.0,-0.0,excluded,DS4,False,False,False
texbat-ds4-method-a-9tap-external-validation,7.541778919999999,1,0.9985074626865672,0.9985074626865672,0.42231023656270955,0.42231023656270955,0.0014936522567832536,0.0014936522567832536,0.0014936522567832536,6.54177892,producer-41151794e6cc648a071b,0.011213309426686474,0.0,-0.0,excluded,DS4,False,False,False
texbat-ds4-method-a-9tap-external-validation,7.5426056,1,0.8597014925373134,0.8597014925373134,1.572015991554631,1.572015991554631,0.1511700516891205,0.1511700516891205,0.1511700516891205,6.5426056,producer-ba7963cb0dd3fb810ad7,0.015277856322618568,0.0,-0.0,excluded,DS4,False,False,False
texbat-ds4-method-a-9tap-external-validation,7.58241928,1,0.9865671641791045,0.9865671641791045,0.7431278325298629,0.7431278325298629,0.01352387253332543,0.01352387253332543,0.01352387253332543,6.58241928,producer-6168d0745cc8e573852c,0.02230634218028439,0.0,-0.0,excluded,DS4,False,False,False
texbat-ds4-method-a-9tap-external-validation,7.58294136,1,1.0,1.0,0.11262750551462056,0.11262750551462056,0.0,0.0,0.0,6.58294136,producer-c84351117b523855f4d8,0.011881620434902524,0.0,-0.0,excluded,DS4,False,False,False
texbat-ds4-method-a-9tap-external-validation,7.62280144,1,1.0,1.0,0.13091225243399773,0.13091225243399773,0.0,0.0,0.0,6.62280144,producer-9c553e0e199b76e9e6fd,0.010343372657502676,0.0,-0.0,excluded,DS4,False,False,False
texbat-ds4-method-a-9tap-external-validation,7.62581316,1,0.9970149253731343,0.9970149253731343,0.5432402046073171,0.5432402046073171,0.0029895388483660483,0.0029895388483660483,0.0029895388483660483,6.62581316,producer-1cbf293610054148ecfd,0.01940283209164541,0.0,-0.0,excluded,DS4,False,False,False
texbat-ds4-method-a-9tap-external-validation,7.91676192,1,0.9537313432835821,0.9537313432835821,1.004697721804431,1.004697721804431,0.047373258007476916,0.047373258007476916,0.047373258007476916,6.91676192,producer-c17e30d613841c6f616f,0.03286334330297813,0.0,-0.0,excluded,DS4,False,False,False
texbat-ds4-method-a-9tap-external-validation,8.04046532,1,1.0,1.0,0.25055648435329547,0.25055648435329547,0.0,0.0,0.0,7.04046532,producer-4646a0efb4b6ff23aa2d,0.017864358557308058,0.0,-0.0,excluded,DS4,False,False,False
texbat-ds4-method-a-9tap-external-validation,8.040853679999998,1,0.9985074626865672,0.9985074626865672,0.41422733168317194,0.41422733168317194,0.0014936522567832536,0.0014936522567832536,0.0014936522567832536,7.04085368,producer-f5f145f7c90ca11bc162,0.021576487445849023,0.0,-0.0,excluded,DS4,False,False,False
texbat-ds4-method-a-9tap-external-validation,8.04177892,1,0.9970149253731343,0.9970149253731343,0.5293549557120593,0.5293549557120593,0.0029895388483660483,0.0029895388483660483,0.0029895388483660483,7.04177892,producer-41151794e6cc648a071b,0.020291770875566908,0.0,-0.0,excluded,DS4,False,False,False
texbat-ds4-method-a-9tap-external-validation,8.0426056,1,0.7194029850746269,0.7194029850746269,2.3219824387979044,2.3219824387979044,0.32933359833441145,0.32933359833441145,0.32933359833441145,7.0426056,producer-ba7963cb0dd3fb810ad7,0.0216293439956007,0.0,-0.0,excluded,DS4,False,False,False
