physical_recording_id,history_id,role,split,prn,segment,channel,window_start_s,window_end_s,window_bin_s,target_window_index,residual_000,residual_001,residual_002,residual_003,residual_004,residual_005,residual_006,residual_007,residual_008,q,p,rmse
texbat-DS8-cmte-reconstructed,a2-history-e227c489e497981e521a,confirmatory:DS8,evaluation,G16,0:0,0,6.08220332,7.08220332,6.5,12,-0.036291639856365854,-0.019121917710574088,0.007668191100490829,-0.041187281611410775,-0.006381664425134659,-0.04869263444917882,-0.019846040007039933,0.0007848964741070941,-0.021988830896063793,1.1635223414724225,0.9313432835820895,0.027340674873271797
texbat-DS8-cmte-reconstructed,a2-history-e227c489e497981e521a,confirmatory:DS8,evaluation,G16,0:0,0,6.58220332,7.58220332,7.0,13,-0.08029752511020488,-0.07404060707166604,-0.042992055428965836,-0.0886925382604058,-0.006494846194982529,-0.023877866431736505,-0.010884935860291378,0.016792225663199295,-0.007252462661715642,1.4100903160809444,0.8940298507462686,0.05023254990092471
texbat-DS8-cmte-reconstructed,a2-history-e227c489e497981e521a,confirmatory:DS8,evaluation,G16,0:0,0,7.08220332,8.08220332,7.5,14,-0.04433980353184808,-0.03983638235277015,-0.024467074945393297,-0.029861718900428325,-0.005263913422822952,-0.038724360004813274,-0.004822213944876197,0.017672969438441072,-0.0004762544982012673,0.6365395729163464,0.9955223880597015,0.02770161408258716
texbat-DS8-cmte-reconstructed,a2-history-e227c489e497981e521a,confirmatory:DS8,evaluation,G16,0:0,0,7.58220332,8.58220332,8.0,15,-0.02893007581535728,-0.02665177663843532,-0.018313057034185953,-0.017842452151219157,-0.005472227931022644,-0.012653413033056893,0.0055388465965204026,0.01660868120487724,-0.003725720947070771,0.4544105007780257,0.9985074626865672,0.017357194764541138
texbat-DS8-cmte-reconstructed,a2-history-e227c489e497981e521a,confirmatory:DS8,evaluation,G16,0:0,0,8.08220332,9.08220332,8.5,16,-0.03228514954005074,-0.02243701745718002,-0.0032598442440593955,-0.026204876150918988,-0.005124911665916443,-0.012666322930677931,-0.00462432630463841,0.011651104695731301,-0.008343131672147702,0.4181958179974169,0.9985074626865672,0.017180459470142524
texbat-DS8-cmte-reconstructed,a2-history-e227c489e497981e521a,confirmatory:DS8,evaluation,G16,0:0,0,8.58220332,9.58220332,9.0,17,-0.0382411238858838,-0.02087778041300581,0.008199664790827732,-0.041263597719067124,-0.0054023377597332,-0.02222530994530303,-0.00840956491195105,0.012792136536528331,-0.0025646156431683165,0.8073803551749347,0.9805970149253731,0.022191767038055282
texbat-DS8-cmte-reconstructed,a2-history-e227c489e497981e521a,confirmatory:DS8,evaluation,G16,0:0,0,9.08220332,10.08220332,9.5,18,-0.02255781887562225,-0.01869436107534511,-0.0021611336378744572,-0.0521321899098276,-0.006072625517845154,-0.023428079656425682,-0.010402853081712488,0.0006515232369659341,-0.01737385195847302,0.7761592426906289,0.9865671641791045,0.022551216561287012
texbat-DS8-cmte-reconstructed,a2-history-e227c489e497981e521a,confirmatory:DS8,evaluation,G16,0:0,0,9.58220332,10.58220332,10.0,19,0.01472642320095846,0.00502703450444314,0.002206024279179375,-0.04186360130518352,-0.0055987648665905,-0.047138638439255476,-0.01455829184890739,-0.0037862080547232113,-0.026713666810796538,0.8063407147308659,0.9805970149253731,0.024020507217723523
texbat-DS8-cmte-reconstructed,a2-history-e227c489e497981e521a,confirmatory:DS8,evaluation,G16,0:0,0,10.08220332,11.08220332,10.5,20,0.02248632120016031,0.01039112329381972,0.010474981003793238,-0.04035712187678703,-0.005679577589035034,-0.008225963152716231,-0.0052160599660233675,-0.002559311750186588,-0.02561248884497566,0.7526483362694324,0.9865671641791045,0.018683663726038927
texbat-DS8-cmte-reconstructed,a2-history-e227c489e497981e521a,confirmatory:DS8,evaluation,G16,0:0,0,10.58220332,11.58220332,11.0,21,-0.003082588787336693,-0.0064530894585040355,-0.004075769128801754,-0.05136628155344786,-0.005110524594783783,-0.015032143681945165,0.0019187546186922588,0.0022494618648169484,-0.021759238619341564,0.5291472914584847,0.9970149253731343,0.019552040133337147
