scenario,event_index,window_start_s,window_end_s,availability_s,prn_i,prn_j,e
DS1,0,0.0,1.0,1.0,3,6,12.004659660640645
DS1,0,0.0,1.0,1.0,3,7,11.541760901946889
DS1,0,0.0,1.0,1.0,3,10,7.051576017412907
DS1,0,0.0,1.0,1.0,3,13,10.136558105885168
DS1,0,0.0,1.0,1.0,3,16,10.264492064886335
DS1,0,0.0,1.0,1.0,3,19,11.591063049571826
DS1,0,0.0,1.0,1.0,3,23,5.290413169701937
DS1,0,0.0,1.0,1.0,6,7,7.675813147192097
DS1,0,0.0,1.0,1.0,6,10,5.207415711188288
DS1,0,0.0,1.0,1.0,6,13,7.042682898804489
DS1,0,0.0,1.0,1.0,6,16,7.813690501230859
DS1,0,0.0,1.0,1.0,6,19,9.540623726440419
DS1,0,0.0,1.0,1.0,6,23,6.10489072480704
DS1,0,0.0,1.0,1.0,7,10,22.345495054773625
DS1,0,0.0,1.0,1.0,7,13,15.37986663333947
DS1,0,0.0,1.0,1.0,7,16,8.95432990087387
DS1,0,0.0,1.0,1.0,7,19,11.544801907191019
DS1,0,0.0,1.0,1.0,7,23,6.331231216471633
DS1,0,0.0,1.0,1.0,10,13,16.464037870473387
DS1,0,0.0,1.0,1.0,10,16,8.040911495855509
DS1,0,0.0,1.0,1.0,10,19,7.535524758792521
DS1,0,0.0,1.0,1.0,10,23,3.9624289028334445
DS1,0,0.0,1.0,1.0,13,16,9.937139249381286
DS1,0,0.0,1.0,1.0,13,19,11.467774633517582
DS1,0,0.0,1.0,1.0,13,23,3.402121649638007
DS1,0,0.0,1.0,1.0,16,19,11.21263397170003
DS1,0,0.0,1.0,1.0,16,23,6.357777722033773
DS1,0,0.0,1.0,1.0,19,23,8.318724395458897
DS1,1,0.5,1.5,1.5,3,6,7.2924357087847556
DS1,1,0.5,1.5,1.5,3,7,6.745636338384894
DS1,1,0.5,1.5,1.5,3,10,7.256751312138701
DS1,1,0.5,1.5,1.5,3,13,7.055970511138405
DS1,1,0.5,1.5,1.5,3,16,6.04817605034945
DS1,1,0.5,1.5,1.5,3,19,4.945303291892341
DS1,1,0.5,1.5,1.5,3,23,5.5628856668735285
DS1,1,0.5,1.5,1.5,6,7,5.224700622126231
DS1,1,0.5,1.5,1.5,6,10,5.98397589570488
DS1,1,0.5,1.5,1.5,6,13,5.878205160520716
DS1,1,0.5,1.5,1.5,6,16,3.48898723458501
DS1,1,0.5,1.5,1.5,6,19,4.013068166538618
DS1,1,0.5,1.5,1.5,6,23,5.631521346579238
DS1,1,0.5,1.5,1.5,7,10,5.279958071701633
DS1,1,0.5,1.5,1.5,7,13,9.231970816858322
DS1,1,0.5,1.5,1.5,7,16,4.9560648464523025
DS1,1,0.5,1.5,1.5,7,19,5.662291005403814
DS1,1,0.5,1.5,1.5,7,23,3.066253581415355
DS1,1,0.5,1.5,1.5,10,13,5.264707485970373
DS1,1,0.5,1.5,1.5,10,16,4.3988085004461395
DS1,1,0.5,1.5,1.5,10,19,2.8613948835883507
DS1,1,0.5,1.5,1.5,10,23,6.542154776408985
DS1,1,0.5,1.5,1.5,13,16,5.549062191196865
DS1,1,0.5,1.5,1.5,13,19,6.618219140561476
DS1,1,0.5,1.5,1.5,13,23,2.6629879979276803
DS1,1,0.5,1.5,1.5,16,19,6.807911548945841
DS1,1,0.5,1.5,1.5,16,23,4.776713852281935
DS1,1,0.5,1.5,1.5,19,23,4.9870315420569336
DS1,2,1.0,2.0,2.0,3,6,3.3143285307032584
DS1,2,1.0,2.0,2.0,3,7,4.685663812629838
DS1,2,1.0,2.0,2.0,3,10,3.0900510700182755
DS1,2,1.0,2.0,2.0,3,13,5.996340927435288
DS1,2,1.0,2.0,2.0,3,16,1.7451490681389366
DS1,2,1.0,2.0,2.0,3,19,2.0464983684065423
DS1,2,1.0,2.0,2.0,3,20,2.4329076083523837
DS1,2,1.0,2.0,2.0,3,23,4.419826493399941
DS1,2,1.0,2.0,2.0,6,7,5.44708876856608
DS1,2,1.0,2.0,2.0,6,10,3.0684171619958813
DS1,2,1.0,2.0,2.0,6,13,4.99697809983308
DS1,2,1.0,2.0,2.0,6,16,1.5396897488945536
DS1,2,1.0,2.0,2.0,6,19,2.0345508209947987
DS1,2,1.0,2.0,2.0,6,20,2.280587262960524
DS1,2,1.0,2.0,2.0,6,23,3.4957548493801007
DS1,2,1.0,2.0,2.0,7,10,2.0837066994311186
DS1,2,1.0,2.0,2.0,7,13,5.485977287007303
DS1,2,1.0,2.0,2.0,7,16,5.8158742985790335
DS1,2,1.0,2.0,2.0,7,19,2.34660157403738
DS1,2,1.0,2.0,2.0,7,20,4.802172322213867
DS1,2,1.0,2.0,2.0,7,23,3.6867347183969663
DS1,2,1.0,2.0,2.0,10,13,4.298020407913915
DS1,2,1.0,2.0,2.0,10,16,1.963404451176644
DS1,2,1.0,2.0,2.0,10,19,1.4736718491082892
DS1,2,1.0,2.0,2.0,10,20,2.0184077290377465
DS1,2,1.0,2.0,2.0,10,23,4.772931966979073
DS1,2,1.0,2.0,2.0,13,16,3.9498582871430075
DS1,2,1.0,2.0,2.0,13,19,3.304316849709312
DS1,2,1.0,2.0,2.0,13,20,5.260732597000938
DS1,2,1.0,2.0,2.0,13,23,5.55245250688531
DS1,2,1.0,2.0,2.0,16,19,3.8168545958744833
DS1,2,1.0,2.0,2.0,16,20,1.2198926632297995
DS1,2,1.0,2.0,2.0,16,23,2.3292078533028997
DS1,2,1.0,2.0,2.0,19,20,1.9087261718952722
DS1,2,1.0,2.0,2.0,19,23,1.947970304384011
DS1,2,1.0,2.0,2.0,20,23,2.755674960777106
DS1,3,1.5,2.5,2.5,3,6,3.1844585998932415
DS1,3,1.5,2.5,2.5,3,7,3.066531881608962
DS1,3,1.5,2.5,2.5,3,10,3.8175435174564116
DS1,3,1.5,2.5,2.5,3,13,4.830575459926792
DS1,3,1.5,2.5,2.5,3,16,1.575676867865988
